iterations,time,pi
100000,53.0,0.31415826535897934884626433520272e1
500000,268.0,0.31415906535897932404626433832468e1
1000000,536.2,0.31415916535897932387126433832549e1
5000000,2682.0,0.31415924535897932384646433832671e1
10000000,5364.0,0.31415925535897932384628933832865e1
50000000,26824.0,0.31415926335897932384626453833051e1
100000000,53649.0,0.31415926435897932384626436332506e1
250000000,133080.4,0.31415926495897932384626433989816e1
400000000,212921.2,0.31415926510897932384626433865197e1
500000000,266146.0,0.31415926515897932384626433844031e1
